Iteration,Root Node Side Length,Input 0,Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,Input 13,Input 14,Input 15,Input 16,Input 17,Input 18,Input 19,Input 20,Input 21,Input 22,Input 23,Input 24,Input 25,Input 26,Input 27,Input 28,Input 29,Input 30,Input 31,Input 32,Weight 0,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10,Weight 11,Weight 12,Weight 13,Weight 14,Weight 15,Weight 16,Weight 17,Weight 18,Weight 19,Weight 20,Weight 21,Weight 22,Weight 23,Weight 24,Weight 25,Weight 26,Weight 27,Weight 28,Weight 29,Weight 30,Weight 31,Weight 32,Output Signal
41,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34905,1.59841,12.0727,-1.54793,1.29282,0.753544,1.84738,1.0037,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.552512
42,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34161,1.54385,12.0727,-1.54049,1.29282,0.753544,1.85481,1.01114,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.527697
43,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33422,1.49015,12.0727,-1.53309,1.29282,0.753544,1.86221,1.01853,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.503582
44,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32688,1.43729,12.0727,-1.52575,1.29282,0.753544,1.86955,1.02587,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.480078
45,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.31961,1.38525,12.0727,-1.51848,1.29282,0.753544,1.87682,1.03314,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.457117
46,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.31242,1.33401,12.0727,-1.51129,1.29282,0.753544,1.88401,1.04033,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.434644
47,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30531,1.28356,12.0727,-1.50419,1.29282,0.753544,1.89112,1.04744,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.412617
48,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29829,1.23388,12.0727,-1.49717,1.29282,0.753544,1.89813,1.05445,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.391005
49,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29137,1.18496,12.0727,-1.49025,1.29282,0.753544,1.90506,1.06138,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.36978
50,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28454,1.13679,12.0727,-1.48342,1.29282,0.753544,1.91189,1.06821,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.348923
51,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.27781,1.08934,12.0727,-1.47668,1.29282,0.753544,1.91862,1.07494,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.328417
