Iteration,Input 0,Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,Input 13,Input 14,Input 15,Input 16,Input 17,Input 18,Input 19,Input 20,Weight 0,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10,Weight 11,Weight 12,Weight 13,Weight 14,Weight 15,Weight 16,Weight 17,Weight 18,Weight 19,Weight 20,Output Signal
38,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.648424,-0.91911,0.145314,0.278449,-0.289117,0.577379,0.357147,0.145275,-0.038034,0.0670683,1.02132,-1.48114,4.3172,-0.220921,-1.15428,0.663582,-0.781925,-0.918251,1.44267,-0.405743,0.406745,-0.541784
39,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.721842,-0.845692,0.218732,0.351867,-0.215699,0.577379,0.357147,0.145275,-0.038034,0.0670683,1.02132,-1.48114,4.3172,-0.220921,-1.15428,0.663582,-0.781925,-0.918251,1.44267,-0.332325,0.406745,2.34304
40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.56265,-1.00488,0.0595398,0.192675,-0.374891,0.418187,0.357147,0.145275,-0.038034,0.0670683,1.02132,-1.64033,4.15801,-0.380113,-1.31347,0.50439,-0.941117,-1.07744,1.28347,-0.491517,0.406745,-0.933752
41,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.654733,-0.912801,0.0595398,0.192675,-0.374891,0.418187,0.357147,0.145275,-0.038034,0.0670683,1.02132,-1.64033,4.15801,-0.380113,-1.31347,0.50439,-0.941117,-1.07744,1.28347,-0.399434,0.406745,-0.405287
42,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.626414,-0.94112,0.0312201,0.164355,-0.374891,0.418187,0.357147,0.145275,-0.038034,0.0670683,1.02132,-1.64033,4.15801,-0.380113,-1.31347,0.50439,-0.941117,-1.07744,1.28347,-0.427754,0.406745,1.42632
43,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0.510875,-1.05666,-0.0843189,0.164355,-0.374891,0.418187,0.357147,0.145275,-0.038034,0.0670683,1.02132,-1.75587,4.04247,-0.495652,-1.31347,0.50439,-0.941117,-1.07744,1.28347,-0.543293,0.406745,-2.12577
44,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.564483,-1.00305,-0.0843189,0.164355,-0.374891,0.418187,0.357147,0.145275,-0.038034,0.0670683,1.02132,-1.70226,4.09608,-0.442044,-1.25986,0.557998,-0.887509,-1.02383,1.28347,-0.489684,0.406745,-0.273464
45,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.625124,-0.94241,-0.0236777,0.224996,-0.31425,0.478828,0.417788,0.205916,0.0226071,0.127709,1.02132,-1.70226,4.09608,-0.442044,-1.25986,0.557998,-0.887509,-1.02383,1.28347,-0.429043,0.406745,0.659392
46,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0.546105,-1.02143,-0.102696,0.145978,-0.393269,0.399809,0.338769,0.205916,0.0226071,0.127709,1.02132,-1.78128,4.01706,-0.521063,-1.33888,0.478979,-0.966528,-1.10285,1.20446,-0.508062,0.406745,-1.17653
47,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0.546105,-1.02143,-0.102696,0.145978,-0.393269,0.399809,0.338769,0.205916,0.0226071,0.127709,1.02132,-1.78128,4.01706,-0.521063,-1.33888,0.478979,-0.966528,-1.10285,1.20446,-0.508062,0.406745,-1.17653
48,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0.546105,-1.02143,-0.102696,0.145978,-0.393269,0.399809,0.338769,0.205916,0.0226071,0.127709,1.02132,-1.78128,4.01706,-0.521063,-1.33888,0.478979,-0.966528,-1.10285,1.20446,-0.508062,0.406745,-1.45313
49,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.567683,-0.999851,-0.0811188,0.167555,-0.371691,0.421387,0.360347,0.227494,0.0441847,0.149287,1.02132,-1.75971,4.03863,-0.499485,-1.3173,0.500557,-0.94495,-1.08128,1.20446,-0.486484,0.406745,-0.281243
50,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.533456,-1.03408,-0.115345,0.133329,-0.405917,0.38716,0.326121,0.227494,0.0441847,0.149287,1.02132,-1.79393,4.00441,-0.533712,-1.35153,0.46633,-0.979177,-1.1155,1.17023,-0.520711,0.406745,-1.40927
51,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0.552945,-1.01459,-0.0958565,0.152818,-0.386429,0.38716,0.326121,0.227494,0.0441847,0.149287,1.02132,-1.79393,4.00441,-0.533712,-1.35153,0.46633,-0.979177,-1.1155,1.17023,-0.501222,0.406745,-1.25139
52,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.564916,-1.01459,-0.0958565,0.152818,-0.386429,0.38716,0.326121,0.227494,0.0441847,0.149287,1.02132,-1.78196,4.01638,-0.521741,-1.33956,0.478301,-0.967206,-1.10353,1.17023,-0.489251,0.406745,0.0742277
53,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0.513762,-1.06574,-0.14701,0.101664,-0.437582,0.336007,0.274967,0.17634,-0.00696896,0.149287,1.02132,-1.83312,3.96523,-0.572894,-1.39071,0.427147,-1.01836,-1.15469,1.11908,-0.540405,0.355591,-1.51509
54,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0.538291,-1.04121,-0.14701,0.101664,-0.437582,0.336007,0.274967,0.17634,-0.00696896,0.149287,1.02132,-1.80859,3.98975,-0.548366,-1.36618,0.451676,-0.993831,-1.15469,1.11908,-0.515876,0.355591,-2.38068
55,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0.699276,-0.880229,0.0139748,0.262649,-0.276597,0.496991,0.435952,0.337325,0.154016,0.310272,1.02132,-1.6476,3.98975,-0.548366,-1.36618,0.451676,-0.993831,-1.15469,1.11908,-0.354892,0.355591,0.738304
56,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0.616499,-0.963006,-0.0688016,0.179873,-0.359374,0.414215,0.353175,0.254549,0.0712396,0.310272,1.02132,-1.73038,3.90698,-0.631143,-1.44896,0.368899,-1.07661,-1.23746,1.0363,-0.437668,0.355591,1.60616
57,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0.492396,-1.08711,-0.192904,0.0557697,-0.483476,0.290112,0.229073,0.130446,-0.0528631,0.310272,1.02132,-1.85448,3.78287,-0.755245,-1.44896,0.368899,-1.07661,-1.23746,1.0363,-0.561771,0.355591,-2.72453
58,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0.669755,-0.90975,-0.0155456,0.233129,-0.306118,0.467471,0.406431,0.307805,0.124496,0.487631,1.02132,-1.67712,3.78287,-0.755245,-1.44896,0.368899,-1.07661,-1.23746,1.0363,-0.384412,0.355591,-2.72453
59,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0.669755,-0.90975,-0.0155456,0.233129,-0.306118,0.467471,0.406431,0.307805,0.124496,0.487631,1.02132,-1.67712,3.78287,-0.755245,-1.44896,0.368899,-1.07661,-1.23746,1.0363,-0.384412,0.355591,-0.343922
60,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.638513,-0.940991,-0.0467874,0.201887,-0.337359,0.436229,0.406431,0.307805,0.124496,0.487631,1.02132,-1.70836,3.75163,-0.786487,-1.4802,0.368899,-1.07661,-1.23746,1.0363,-0.415654,0.355591,-0.764919
61,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.722557,-0.856948,0.0372564,0.201887,-0.337359,0.436229,0.406431,0.307805,0.124496,0.487631,1.02132,-1.70836,3.75163,-0.786487,-1.4802,0.368899,-1.07661,-1.23746,1.0363,-0.33161,0.355591,0.0660859
62,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0.671791,-0.907714,-0.0135096,0.151121,-0.388125,0.385463,0.355665,0.257039,0.0737297,0.436865,1.02132,-1.75913,3.70087,-0.837253,-1.53097,0.318133,-1.12737,-1.28823,0.985534,-0.382376,0.355591,1.74443
63,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.503917,-1.07559,-0.181384,-0.0167536,-0.556,0.217589,0.187791,0.0891647,-0.0941447,0.26899,1.02132,-1.84891,3.61109,-0.927035,-1.53097,0.318133,-1.12737,-1.28823,0.985534,-0.55025,0.355591,-0.113885
64,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.556959,-1.02255,-0.128342,0.0362886,-0.502958,0.217589,0.187791,0.0891647,-0.0941447,0.26899,1.02132,-1.79587,3.66413,-0.927035,-1.53097,0.318133,-1.12737,-1.28823,0.985534,-0.497208,0.355591,-2.8541
65,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0.64525,-0.934255,-0.0400511,0.124579,-0.414667,0.30588,0.276082,0.0891647,-0.0941447,0.26899,1.02132,-1.70758,3.75242,-0.838744,-1.44268,0.406424,-1.03908,-1.19994,1.07382,-0.408917,0.355591,-2.79136
66,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.825791,-0.753714,0.14049,0.30512,-0.234126,0.486421,0.276082,0.0891647,-0.0941447,0.26899,1.02132,-1.52704,3.93296,-0.658203,-1.26214,0.586965,-0.858542,-1.0194,1.07382,-0.228377,0.355591,-0.0158105
67,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0.874162,-0.705342,0.188862,0.30512,-0.234126,0.486421,0.276082,0.0891647,-0.0941447,0.26899,1.02132,-1.52704,3.93296,-0.658203,-1.26214,0.586965,-0.858542,-1.0194,1.07382,-0.180005,0.355591,2.34773
68,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0.714747,-0.864758,0.0294459,0.145704,-0.393542,0.327005,0.116666,-0.0702511,-0.25356,0.109575,1.02132,-1.68645,3.77354,-0.817619,-1.42155,0.427549,-0.858542,-1.0194,1.07382,-0.33942,0.355591,-0.486484
69,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.785532,-0.793973,0.100231,0.216489,-0.322757,0.39779,0.187451,0.000533846,-0.25356,0.109575,1.02132,-1.61567,3.84433,-0.746834,-1.35077,0.427549,-0.858542,-1.0194,1.07382,-0.268635,0.355591,-1.09877
70,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.885473,-0.793973,0.100231,0.216489,-0.322757,0.39779,0.187451,0.000533846,-0.25356,0.109575,1.02132,-1.51573,3.84433,-0.746834,-1.35077,0.427549,-0.858542,-1.0194,1.07382,-0.168694,0.355591,2.08378
71,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.738627,-0.94082,-0.0466156,0.0696428,-0.469603,0.250943,0.0406044,0.000533846,-0.25356,0.109575,1.02132,-1.66257,3.69748,-0.89368,-1.35077,0.427549,-0.858542,-1.0194,1.07382,-0.31554,0.355591,-0.672228
72,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.818257,-0.86119,0.0330143,0.149273,-0.389974,0.330573,0.120234,0.0801638,-0.25356,0.109575,1.02132,-1.66257,3.69748,-0.89368,-1.35077,0.427549,-0.858542,-1.0194,1.07382,-0.23591,0.355591,-0.621826
73,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0.797856,-0.88159,0.0126136,0.128872,-0.410374,0.310172,0.0998336,0.0801638,-0.25356,0.109575,1.02132,-1.68297,3.67708,-0.914081,-1.36614,0.412172,-0.873919,-1.03477,1.05845,-0.256311,0.355591,1.73136
74,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.667791,-1.01166,-0.117451,-0.00119256,-0.540439,0.180108,-0.0302309,-0.0499008,-0.383625,-0.0204899,1.02132,-1.81304,3.54702,-0.914081,-1.36614,0.412172,-0.873919,-1.03477,1.05845,-0.386376,0.355591,-3.20236
75,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.867904,-0.811543,0.0826614,0.19892,-0.340326,0.180108,-0.0302309,-0.0499008,-0.383625,-0.0204899,1.02132,-1.61293,3.54702,-0.914081,-1.36614,0.412172,-0.873919,-1.03477,1.05845,-0.186263,0.355591,-0.831446
76,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0.867904,-0.811543,0.0826614,0.19892,-0.340326,0.180108,-0.0302309,-0.0499008,-0.383625,-0.0204899,1.02132,-1.61293,3.54702,-0.914081,-1.36614,0.412172,-0.873919,-1.03477,1.05845,-0.186263,0.355591,-0.393375
77,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.839017,-0.84043,0.0537745,0.19892,-0.340326,0.180108,-0.0302309,-0.0499008,-0.383625,-0.0204899,1.02132,-1.64181,3.51813,-0.942968,-1.39503,0.412172,-0.873919,-1.03477,1.05845,-0.21515,0.355591,1.91245
